"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 02:33:58 UTC 2024","Wed Feb 28 02:33:58 UTC 2024","415","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"broken","Wed Feb 28 04:09:49 UTC 2024","Wed Feb 28 04:09:49 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed Feb 28 03:46:30 UTC 2024","Wed Feb 28 03:46:33 UTC 2024","3483","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Feb 28 02:38:45 UTC 2024","Wed Feb 28 02:38:48 UTC 2024","2379","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Feb 28 03:47:02 UTC 2024","Wed Feb 28 03:48:09 UTC 2024","67099","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Wed Feb 28 02:41:32 UTC 2024","Wed Feb 28 02:41:49 UTC 2024","17366","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Feb 28 02:36:28 UTC 2024","Wed Feb 28 02:36:36 UTC 2024","7446","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Feb 28 02:59:04 UTC 2024","Wed Feb 28 02:59:21 UTC 2024","16437","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Feb 28 02:33:42 UTC 2024","Wed Feb 28 02:33:55 UTC 2024","13080","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Feb 28 03:22:24 UTC 2024","Wed Feb 28 03:22:54 UTC 2024","30616","","17.2 Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed Feb 28 02:45:31 UTC 2024","Wed Feb 28 02:45:33 UTC 2024","1945","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Feb 28 02:29:51 UTC 2024","Wed Feb 28 02:29:51 UTC 2024","557","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Feb 28 02:42:26 UTC 2024","Wed Feb 28 02:42:28 UTC 2024","1520","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Feb 28 02:20:29 UTC 2024","Wed Feb 28 02:20:29 UTC 2024","23","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Feb 28 02:21:18 UTC 2024","Wed Feb 28 02:21:41 UTC 2024","22239","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Feb 28 03:33:20 UTC 2024","Wed Feb 28 03:33:29 UTC 2024","8777","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Feb 28 02:22:05 UTC 2024","Wed Feb 28 02:22:16 UTC 2024","11364","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed Feb 28 02:35:54 UTC 2024","Wed Feb 28 02:36:03 UTC 2024","9064","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Feb 28 03:01:27 UTC 2024","Wed Feb 28 03:01:32 UTC 2024","4923","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Feb 28 02:31:58 UTC 2024","Wed Feb 28 02:32:03 UTC 2024","4995","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Feb 28 03:45:51 UTC 2024","Wed Feb 28 03:46:00 UTC 2024","9210","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Feb 28 02:22:16 UTC 2024","Wed Feb 28 02:22:42 UTC 2024","26191","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Wed Feb 28 03:48:59 UTC 2024","Wed Feb 28 03:50:29 UTC 2024","90175","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Feb 28 02:21:49 UTC 2024","Wed Feb 28 02:22:05 UTC 2024","15729","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Feb 28 02:45:18 UTC 2024","Wed Feb 28 02:45:22 UTC 2024","3026","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Feb 28 02:44:43 UTC 2024","Wed Feb 28 02:44:50 UTC 2024","6971","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Feb 28 02:35:39 UTC 2024","Wed Feb 28 02:35:54 UTC 2024","15538","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Feb 28 02:31:50 UTC 2024","Wed Feb 28 02:31:58 UTC 2024","7848","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Feb 28 02:56:06 UTC 2024","Wed Feb 28 02:56:06 UTC 2024","278","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Feb 28 03:45:37 UTC 2024","Wed Feb 28 03:45:51 UTC 2024","13533","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Feb 28 04:15:47 UTC 2024","Wed Feb 28 04:15:50 UTC 2024","2972","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Feb 28 02:42:28 UTC 2024","Wed Feb 28 02:42:47 UTC 2024","19659","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"skipped","Wed Feb 28 02:20:52 UTC 2024","Wed Feb 28 02:20:52 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed Feb 28 02:56:53 UTC 2024","Wed Feb 28 02:56:54 UTC 2024","1203","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Feb 28 02:33:55 UTC 2024","Wed Feb 28 02:33:58 UTC 2024","2616","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Feb 28 03:46:05 UTC 2024","Wed Feb 28 03:46:29 UTC 2024","24684","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Feb 28 03:33:19 UTC 2024","Wed Feb 28 03:33:20 UTC 2024","333","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Feb 28 02:27:48 UTC 2024","Wed Feb 28 02:27:53 UTC 2024","4610","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Feb 28 03:16:52 UTC 2024","Wed Feb 28 03:17:11 UTC 2024","18816","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Feb 28 02:37:43 UTC 2024","Wed Feb 28 02:37:46 UTC 2024","3247","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Feb 28 04:15:45 UTC 2024","Wed Feb 28 04:15:47 UTC 2024","1653","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Feb 28 04:16:17 UTC 2024","Wed Feb 28 04:16:18 UTC 2024","1367","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed Feb 28 03:01:32 UTC 2024","Wed Feb 28 03:01:33 UTC 2024","1420","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Feb 28 03:48:20 UTC 2024","Wed Feb 28 03:48:59 UTC 2024","38981","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed Feb 28 03:35:13 UTC 2024","Wed Feb 28 03:35:33 UTC 2024","19388","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Feb 28 03:46:00 UTC 2024","Wed Feb 28 03:46:05 UTC 2024","4517","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Wed Feb 28 03:13:44 UTC 2024","Wed Feb 28 03:13:47 UTC 2024","3171","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Feb 28 04:15:50 UTC 2024","Wed Feb 28 04:15:57 UTC 2024","7342","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Wed Feb 28 02:20:52 UTC 2024","Wed Feb 28 02:21:18 UTC 2024","26048","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Feb 28 03:20:14 UTC 2024","Wed Feb 28 03:20:45 UTC 2024","31715","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Feb 28 02:27:53 UTC 2024","Wed Feb 28 02:28:12 UTC 2024","19111","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Feb 28 03:07:57 UTC 2024","Wed Feb 28 03:07:59 UTC 2024","1727","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Feb 28 03:48:13 UTC 2024","Wed Feb 28 03:48:18 UTC 2024","5058","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Feb 28 03:13:26 UTC 2024","Wed Feb 28 03:13:40 UTC 2024","14258","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Feb 28 02:29:43 UTC 2024","Wed Feb 28 02:29:51 UTC 2024","8126","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Feb 28 02:24:16 UTC 2024","Wed Feb 28 02:25:18 UTC 2024","62152","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed Feb 28 03:07:32 UTC 2024","Wed Feb 28 03:07:57 UTC 2024","25519","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Feb 28 03:46:00 UTC 2024","Wed Feb 28 03:46:00 UTC 2024","16","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Feb 28 02:59:24 UTC 2024","Wed Feb 28 02:59:42 UTC 2024","18740","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Feb 28 02:36:08 UTC 2024","Wed Feb 28 02:36:28 UTC 2024","20559","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Feb 28 03:46:33 UTC 2024","Wed Feb 28 03:46:36 UTC 2024","2771","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Feb 28 03:17:53 UTC 2024","Wed Feb 28 03:18:25 UTC 2024","32115","","17.0 Create Test User on Live Portal","","","","4. Subscribe user via Suitability Calculator",""
"passed","Wed Feb 28 02:56:54 UTC 2024","Wed Feb 28 02:57:06 UTC 2024","11595","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed Feb 28 03:13:49 UTC 2024","Wed Feb 28 03:13:52 UTC 2024","3064","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
